IATA_Code,ICAO_Code,NumOfDest,AirportName,City,State,Latitude,Longitude,Altitude
PLN,KPLN,4,Pellston Regional Airport of Emmet County Airport,Pellston,MI,45.57089996,-84.79669952,721
PNS,KPNS,18,Pensacola Regional Airport,Pensacola,FL,30.473400115967003,-87.18659973144501,121
PPG,NSTU,1,Pago Pago International Airport,Pago Pago,TT,-14.3310003281,-170.710006714,32
PRC,KPRC,2,Ernest A. Love Field,Prescott,AZ,34.65449905,-112.41999820000001,5045
PSC,KPSC,9,Tri Cities Airport,Pasco,WA,46.26470184326172,-119.11900329589844,410
PSE,TJPS,2,Mercedita Airport,Ponce,PR,18.00830078125,-66.56300354003906,29
PSG,PAPG,2,Petersburg James A Johnson Airport,Petersburg,AK,56.80170059,-132.9450073,111
PSM,KPSM,5,Portsmouth International at Pease Airport,Portsmouth,NH,43.0778999329,-70.8233032227,100
PSP,KPSP,16,Palm Springs International Airport,Palm Springs,CA,33.829700469970696,-116.50700378417969,477
PUB,KPUB,2,Pueblo Memorial Airport,Pueblo,CO,38.289100646972656,-104.49700164794922,4726
PVD,KPVD,27,Theodore Francis Green State Airport,Providence,RI,41.732601,-71.42040300000001,55
PVU,KPVU,5,Provo Municipal Airport,Provo,UT,40.219200134277,-111.72299957275,4497
PWM,KPWM,17,Portland International Jetport Airport,Portland,ME,43.64619827,-70.30930328,76
RAP,KRAP,14,Rapid City Regional Airport,Rapid City,SD,44.0452995300293,-103.05699920654295,3204
RDD,KRDD,2,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,505
RDM,KRDM,10,Roberts Field,Redmond-Bend,OR,44.254100799999996,-121.15000149999999,3080
RDU,KRDU,63,Raleigh Durham International Airport,Raleigh-durham,NC,35.877601623535156,-78.7874984741211,435
RFD,KRFD,7,Chicago Rockford International Airport,Rockford,IL,42.19540023803711,-89.09719848632812,742
RHI,KRHI,2,Rhinelander Oneida County Airport,Rhinelander,WI,45.63119888305664,-89.46749877929688,1624
RIC,KRIC,24,Richmond International Airport,Richmond,VA,37.50519943237305,-77.3197021484375,167
RKS,KRKS,3,Southwest Wyoming Regional Airport,Rock Springs,WY,41.5942,-109.065001,6764
RNO,KRNO,23,Reno Tahoe International Airport,Reno,NV,39.49909973144531,-119.76799774169922,4415
ROA,KROA,7,Roanoke–Blacksburg Regional Airport,Roanoke VA,VA,37.3255,-79.975403,1175
ROC,KROC,19,Greater Rochester International Airport,Rochester,NY,43.118900299072266,-77.67240142822266,559
ROW,KROW,2,Roswell International Air Center Airport,Roswell,NM,33.30160140991211,-104.53099822998048,3671
RST,KRST,5,Rochester International Airport,Rochester,MN,43.90829849243164,-92.5,1317
RSW,KRSW,50,Southwest Florida International Airport,Fort Myers,FL,26.53619956970215,-81.75520324707031,30
SAF,KSAF,4,Santa Fe Municipal Airport,Santa Fe,NM,35.617099761999995,-106.08899688700001,6348
SAN,KSAN,67,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,17
SAT,KSAT,49,San Antonio International Airport,San Antonio,TX,29.533700942993164,-98.46980285644531,809
SAV,KSAV,33,Savannah Hilton Head International Airport,Savannah,GA,32.12760162,-81.20210266,50
SBA,KSBA,8,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,13
SBN,KSBN,20,South Bend Regional Airport,South Bend,IN,41.70869827270508,-86.31729888916016,799
SBP,KSBP,6,San Luis County Regional Airport,San Luis Obispo,CA,35.2368011475,-120.64199829100001,212
SCC,PASC,2,Deadhorse Airport,Deadhorse,AK,70.19470215,-148.46499630000002,65
SCE,KUNV,7,University Park Airport,State College Pennsylvania,PA,40.8493003845,-77.84870147710002,1239
SCK,KSCK,4,Stockton Metropolitan Airport,Stockton,CA,37.894199371338,-121.2379989624,33
SDF,KSDF,37,Louisville International Standiford Field,Louisville,KY,38.1744,-85.736,501
SEA,KSEA,87,Seattle Tacoma International Airport,Seattle,WA,47.449001,-122.308998,433
SFB,KSFB,78,Orlando Sanford International Airport,Sanford,FL,28.7775993347168,-81.23750305175781,55
SFO,KSFO,97,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,13
SGF,KSGF,13,Springfield Branson National Airport,Springfield,MO,37.24570084,-93.38860321,1268
SGU,KSGU,6,St George Municipal Airport,Saint George,UT,37.036389,-113.510306,2941
SHD,KSHD,3,Shenandoah Valley Regional Airport,Weyers Cave,VA,38.2638015747,-78.8964004517,1201
SHV,KSHV,8,Shreveport Regional Airport,Shreveport,LA,32.446602,-93.8256,258
SIT,PASI,4,Sitka Rocky Gutierrez Airport,Sitka,AK,57.04710006713867,-135.36199951171878,21
SJC,KSJC,51,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.362598,-121.929001,62
SJT,KSJT,1,San Angelo Regional Mathis Field,San Angelo,TX,31.35770034790039,-100.49600219726562,1919
SJU,TJSJ,29,Luis Munoz Marin International Airport,San Juan,PR,18.4393997192,-66.0018005371,9
SLC,KSLC,103,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,4227
SLN,KSLN,2,Salina Municipal Airport,Salina,KS,38.79100036621094,-97.6521987915039,1288
SMF,KSMF,39,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796876,27
SMX,KSMX,3,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,CA,34.89889908,-120.4570007,261
SNA,KSNA,26,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.86799620000001,56
SPI,KSPI,4,Abraham Lincoln Capital Airport,Springfield,IL,39.84410095,-89.67790222,598
SPN,PGSN,1,Saipan International Airport,Saipan,TT,15.119000000000002,145.729004,215
SPS,KSPS,1,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,TX,33.9888,-98.49189799999999,1019
SRQ,KSRQ,34,Sarasota Bradenton International Airport,Sarasota,FL,27.39539909362793,-82.55439758300781,30
STC,KSTC,3,St Cloud Regional Airport,Saint Cloud,MN,45.54660034179688,-94.05989837646484,1031
STL,KSTL,61,St Louis Lambert International Airport,St. Louis,MO,38.748697,-90.370003,618
STS,KSTS,8,Charles M. Schulz Sonoma County Airport,Santa Rosa,CA,38.50899887,-122.8130035,128
STT,TIST,14,Cyril E. King Airport,St. Thomas,VI,18.337299346923828,-64.97339630126953,23
STX,TISX,5,Henry E Rohlsen Airport,St. Croix Island,VI,17.701900482177734,-64.79859924316406,74
SUN,KSUN,6,Friedman Memorial Airport,Hailey,ID,43.50439835,-114.2959976,5318
SUX,KSUX,2,Sioux Gateway Col. Bud Day Field,Sioux City,IA,42.40259933,-96.38439941,1098
SWF,KSWF,11,Stewart International Airport,Newburgh,NY,41.50410079956055,-74.10479736328125,491
SWO,KSWO,2,Stillwater Regional Airport,Stillwater,OK,36.161201477051,-97.08570098876999,1000
SYR,KSYR,24,Syracuse Hancock International Airport,Syracuse,NY,43.11119842529297,-76.1063003540039,421
TKI,KTKI,0,Tokeen Airport,Tokeen,AK,55.937222,-133.326667,0
TLH,KTLH,5,Tallahassee Regional Airport,Tallahassee,FL,30.396499633789066,-84.35030364990234,81
TOL,KTOL,6,Toledo Express Airport,Toledo,OH,41.58679962,-83.80780029,683
TPA,KTPA,71,Tampa International Airport,Tampa,FL,27.975500106811523,-82.533203125,26
TRI,KTRI,6,Tri-Cities Regional TN/VA Airport,BRISTOL,TN,36.475201,-82.40740100000001,1519
TTN,KTTN,26,Trenton Mercer Airport,Trenton,NJ,40.27669906616211,-74.8134994506836,213
TUL,KTUL,31,Tulsa International Airport,Tulsa,OK,36.19839859008789,-95.88809967041016,677
TUS,KTUS,24,Tucson International Airport,Tucson,AZ,32.116100311279304,-110.94100189208984,2643
TVC,KTVC,14,Cherry Capital Airport,Traverse City,MI,44.74140167236328,-85.58219909667969,624
TWF,KTWF,7,Joslin Field Magic Valley Regional Airport,Twin Falls,ID,42.4818,-114.487999,4154
TXK,KTXK,1,Texarkana Regional Webb Field,Texarkana,AR,33.45370101928711,-93.99099731445312,390
TYR,KTYR,3,Tyler Pounds Regional Airport,Tyler,TX,32.35409927368164,-95.40239715576172,544
TYS,KTYS,25,McGhee Tyson Airport,Knoxville,TN,35.81100082,-83.99400329999999,981
UIN,KUIN,2,Quincy Regional Baldwin Field,Quincy,IL,39.94269943,-91.19460297,768
USA,KJQF,7,Concord-Padgett Regional Airport,Concord,NC,35.387798,-80.709099,705
UST,KSGJ,4,Northeast Florida Regional Airport,St. Augustine Airport,FL,29.9592,-81.339798,10
VEL,KVEL,2,Vernal Regional Airport,Vernal,UT,40.4408989,-109.5100021,5278
VLD,KVLD,1,Valdosta Regional Airport,Valdosta,GA,30.78249931335449,-83.27670288085938,203
VPS,KVPS,39,Destin-Ft Walton Beach Airport,Valparaiso,FL,30.4832,-86.525398,87
WRG,PAWG,2,Wrangell Airport,Wrangell,AK,56.48429871,-132.36999509999998,49
WYS,KWYS,1,Yellowstone Airport,West Yellowstone,MT,44.68840027,-111.11799620000001,6649
XNA,KXNA,22,Northwest Arkansas Regional Airport,Bentonville,AR,36.281898,-94.30680100000001,1287
XWA,KXWA,2,Williston Basin International Airport,Williston,ND,48.259722,-103.750556,2353
YAK,PAYA,2,Yakutat Airport,Yakutat,AK,59.503299713100006,-139.660003662,33
YNG,KYNG,2,Youngstown Warren Regional Airport,Youngstown,OH,41.26070023,-80.67910004,1192
YUM,KNYL,2,Yuma MCAS/Yuma International Airport,Yuma,AZ,32.65660095,-114.6060028,213
